"book_id","title","price","stock","total_sold","description","admin_id","publisher_id","image_url"
1012,"The Alchemist",650.00,25,120,"A philosophical novel about a young shepherd who follows his dream and discovers the meaning of life.",104,1,"image/book_cover/1984.jpeg"
1013,"The Silent Patient",798.00,20,95,"A psychological thriller about a woman who stops speaking after a mysterious crime.",105,1,"image/book_cover/the_silent_patient.jpeg"
1014,"Harry Potter and the Philosophers Stone",850.00,30,200,"The beginning of Harry Potter journey into the magical world of Hogwarts.",104,2,"image/book_cover/Harry_Potter_and_Philosopher_Stone.jpeg"
1015,"1984",680.00,18,85,"A dystopian novel about surveillance, freedom, and a society controlled by a powerful government.",105,3,"image/book_cover/1984.jpeg"
1016,"The Old Man and the Sea",500.00,15,70,"A story of an old fisherman struggle, courage, and determination against the sea.",106,4,"image/book_cover/The_old_man_and_sea.jpeg"
1017,"Inferno",920.00,12,65,"A thrilling mystery where Robert Langdon investigates secrets connected with Dante history.",107,5,"image/book_cover/Inferno.jpeg"
1018,"Angels and Demons",880.00,14,80,"A mystery thriller involving the Illuminati and a race to save Vatican City.",108,5,"image/book_cover/Angels_and_Demons.jpeg"
1019,"The Da Vinci Code",950.00,16,150,"A mystery adventure involving hidden secrets, art, history, and ancient mysteries.",107,5,"image/book_cover/The_Da_Vinci_Code.jpeg"
1020,"Origin",980.00,10,45,"Robert Langdon explores a scientific discovery that challenges humanitys understanding of existence.",104,5,"image/book_cover/Origin.jpeg"
1021,"The Shining",780.00,13,60,"A psychological horror novel about a family trapped in a haunted hotel.",104,6,"image/book_cover/The_shining.jpeg"
1022,"Metamorphosis",450.00,20,90,"A classic novella exploring identity, isolation, and human relationships through Gregor Samsa.",104,7,"image/book_cover/Metamorphosis.jpeg"
1023,"হিমু",420.00,25,300,"হুমায়ূন আহমেদের জনপ্রিয় উপন্যাস, যেখানে রহস্যময় ও স্বাধীনচেতা চরিত্র হিমুর জীবনদর্শন, চিন্তাভাবনা এবং অদ্ভুত অভিজ্ঞতা তুলে ধরা হয়েছে.",104,8,"image/book_cover/himu.jpeg"
1024,"দেবী",480.00,18,250,"হুমায়ূন আহমেদের বিখ্যাত মনস্তাত্ত্বিক রহস্য উপন্যাস, যেখানে মিসির আলীর যুক্তিবাদী অনুসন্ধান এবং রহস্যময় ঘটনাগুলো তুলে ধরা হয়েছে.",106,8,"image/book_cover/devi.jpeg"
1025,"নন্দিত নরকে",450.00,22,220,"হুমায়ূন আহমেদের প্রথম উপন্যাস, যেখানে একটি পরিবারের আবেগ, সম্পর্ক, দুঃখ-কষ্ট এবং মানবিক অনুভূতির গল্প তুলে ধরা হয়েছে.",105,8,"image/book_cover/Nondito_Noroke.jpeg"
1026,"কোথাও কেউ নেই",490.00,15,180,"হুমায়ূন আহমেদের জনপ্রিয় উপন্যাস, যেখানে বন্ধুত্ব, ভালোবাসা, ন্যায়বোধ এবং মানুষের জীবনের নানা অনুভূতি ফুটে উঠেছে.",105,8,"image/book_cover/kothao_keu_nei.jpeg"
1027,"শঙ্খনীল কারাগার",550.00,17,160,"হুমায়ূন আহমেদের একটি আবেগঘন উপন্যাস, যেখানে পারিবারিক সম্পর্ক, ভালোবাসা এবং মানুষের মানসিক দ্বন্দ্ব তুলে ধরা হয়েছে.",105,8,"image/book_cover/shongkhonil_karagar.jpeg"
1028,"শ্রাবণ মেঘের দিন",520.00,14,100,"হুমায়ূন আহমেদের রোমান্টিক ও আবেগময় উপন্যাস, যেখানে প্রেম, প্রকৃতি এবং মানুষের অনুভূতির সুন্দর প্রকাশ ঘটেছে.",105,8,"image/book_cover/srabon_megher_din.jpeg"
1029,"পথের পাঁচালী",650.00,19,140,"বিভূতিভূষণ বন্দ্যোপাধ্যায়ের বিখ্যাত উপন্যাস, যেখানে গ্রামীণ বাংলার জীবন, প্রকৃতি এবং অপু ও তার পরিবারের গল্প তুলে ধরা হয়েছে.",106,9,"image/book_cover/pother_pachali.jpeg"
1030,"অপরাজিত",690.00,12,90,"বিভূতিভূষণ বন্দ্যোপাধ্যায়ের উপন্যাস, যেখানে অপুর বেড়ে ওঠা, শিক্ষা, সংগ্রাম এবং জীবনের নানা অভিজ্ঞতার কাহিনি রয়েছে.",104,9,"image/book_cover/Oporajita.jpeg"
1031,"চাঁদের পাহাড়",720.00,16,130,"বিভূতিভূষণ বন্দ্যোপাধ্যায়ের রোমাঞ্চকর অভিযানমূলক উপন্যাস, যেখানে এক তরুণ বাঙালির আফ্রিকা অভিযানের গল্প বলা হয়েছে.",104,9,"image/book_cover/chander_pahar.jpeg"
1032,"পদ্মা নদীর মাঝি",620.00,15,110,"মানিক বন্দ্যোপাধ্যায়ের বিখ্যাত উপন্যাস, যেখানে পদ্মা নদীর তীরের জেলেদের জীবন, সংগ্রাম এবং বাস্তবতা তুলে ধরা হয়েছে.",105,10,"image/book_cover/padma_nodir_majhi.jpeg"
1033,"দেবদাস",530.00,20,170,"শরৎচন্দ্র চট্টোপাধ্যায়ের অমর প্রেমের উপন্যাস, যেখানে দেবদাস, পার্বতী ও চন্দ্রমুখীর বেদনাময় সম্পর্কের গল্প রয়েছে.",107,11,"image/book_cover/devdas.jpeg"
1034,"শ্রীকান্ত",760.00,10,75,"শরৎচন্দ্র চট্টোপাধ্যায়ের বিখ্যাত উপন্যাস, যেখানে শ্রীকান্তের জীবনযাত্রা, ভ্রমণ এবং সমাজের নানা দিক তুলে ধরা হয়েছে.",108,11,"image/book_cover/srikanta.jpeg"
